disease_id,gene,disease_name,phenotype_concern,phenotype_concern_list,inheritance,inheritance_gencc,onset,early_presentation,progression,severity,penetrance,red_flag_symptom,referral,monitoring_focus,possible_tiers,report_mode,curation_note,first_curator,reviewed,mvp_scope
D0187,DMD,Duchenne muscular dystrophy,"developmental delay concern, gait / coordination concern, language / cognitive concern, motor weakness concern, musculoskeletal concern, respiratory / cardiopulmonary concern, respiratory concern",developmental delay concern; gait / coordination concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; respiratory / cardiopulmonary concern; respiratory concern,XLR,XLR,Childhood onset,"muscle weakness, elevated serum creatine kinase, abnormal dystrophin on muscle biopsy",progressive,重度,"Complete penetrance in male, Variable expressivity in heterozygous female",0,0,0,0,0,0,Pierre,0,TRUE
D0188,DMD,Becker muscular dystrophy,"motor weakness concern, musculoskeletal concern, respiratory / cardiopulmonary concern",motor weakness concern; musculoskeletal concern; respiratory / cardiopulmonary concern,XLR,XLR,Adult onset,"muscle weakness, elevated serum creatine kinase, absent dystrophin on muscle biopsy",progressive,中度,"Complete penetrance in male, Variable expressivity in heterozygous female",0,0,0,0,0,0,Pierre,0,TRUE
D0254,FOLR1,Neurodegeneration due to cerebral folate transport deficiency,"developmental delay concern, developmental regression concern, language / cognitive concern, seizure-like event concern",developmental delay concern; developmental regression concern; language / cognitive concern; seizure-like event concern,AR,AR,"Infantile, Childhood",Movement disturbances,"Progressive, Developmental regression",重度(若未及時治療),Complete penetrance,"seizure, developmental regression, motor",小兒神經科、癲癇專科、新陳代謝科,0,0,0,0,0,0,TRUE
D0287,GJB2,Deafness,hearing concern,hearing concern,"AD, AR","AD, AR",Neonatal (primary); Infantile to Childhood (secondary),Absent or delayed speech/language development; no startled response to large environmental sounds,Non-progressive (primary); Progressive (rare),"Moderate, Severe",Complete,Failed newborn hearing screening; absent or delayed speech/language development; no response to environmental sounds,耳鼻喉科,0,常規監測、建議追蹤,0,0,0,0,TRUE
D0299,GRIN2B,"Intellectual developmental disorder, autosomal dominant 6, with or without seizures","developmental delay concern, gastrointestinal concern, language / cognitive concern, seizure-like event concern, social interaction / behavioral concern",developmental delay concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern; social interaction / behavioral concern,AD,AD,Unknown,0,0,Highly variable,0,0,0,0,0,0,0,0,0,TRUE
D0300,GRIN2B,Developmental and epileptic encephalopathy 27,"developmental delay concern, feeding / swallowing concern, gastrointestinal concern, language / cognitive concern, seizure-like event concern",developmental delay concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern,AD,AD,Infantile onset,0,0,Highly variable,0,0,0,0,0,0,0,0,0,TRUE
D0547,SCN1A,Early infantile epileptic encephalopathy-6,"developmental delay concern, developmental regression concern, gait / coordination concern, language / cognitive concern, seizure-like event concern, vision / ocular tracking concern",developmental delay concern; developmental regression concern; gait / coordination concern; language / cognitive concern; seizure-like event concern; vision / ocular tracking concern,AD,0,Infantile onset,Febrile seizures,developmental regression,嚴重,"Variable expressivity, variable expressivity",抽搐性癲癇重積狀態伴發熱或接種疫苗後,小兒神經科或癲癇專科,0,0,0,0,WH,0,TRUE
