disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0583,SLC2A1,"GLUT1 deficiency syndrome-2, childhood onset",OMIM:612126,AD,developmental delay concern; gait / coordination concern; gastrointestinal concern; hematologic / bleeding concern; seizure-like event concern
D0230,ETFA,Glutaric acidemia IIA,OMIM:231680,AR,fatigability / low stamina concern; gastrointestinal concern; motor weakness concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern
D0231,ETFB,Glutaric acidemia IIB,OMIM:231680,AR,fatigability / low stamina concern; gastrointestinal concern; motor weakness concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern
D0232,ETFDH,Glutaric acidemia IIC,OMIM:231680,AR,fatigability / low stamina concern; gastrointestinal concern; motor weakness concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern
D0275,GCDH,"Glutaric aciduria, type I",OMIM:231670,AR,developmental delay concern; developmental regression concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; renal / urinary concern; seizure-like event concern
D0044,AMT,Glycine encephalopathy 2,OMIM:620398,AR,developmental delay concern; language / cognitive concern; respiratory concern; seizure-like event concern
D0598,SLC6A9,Glycine encephalopathy with normal serum glycine,OMIM:617301,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; musculoskeletal concern; respiratory concern; skin concern
D0290,GLDC,Glycine encephalopathy1,OMIM:605899,AR,developmental delay concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; social interaction / behavioral concern
D0261,G6PC1,Glycogen storage disease Ia,OMIM:232200,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; renal / urinary concern; skin concern
D0586.1,SLC37A4,Glycogen storage disease Ib and 1c,OMIM:232220,AR,growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; respiratory concern; seizure-like event concern; skin concern
D0586.2,SLC37A4,Glycogen storage disease Ib and 1c,OMIM:232240,AR,growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; respiratory concern; seizure-like event concern; skin concern
D0263,GAA,Glycogen storage disease II,OMIM:232300,AR,fatigability / low stamina concern; gait / coordination concern; gastrointestinal concern; hearing concern; hematologic / bleeding concern; motor weakness concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; systemic red flag concern
D0024,AGL,Glycogen storage disease III,OMIM:232400,AR,gastrointestinal concern; growth / weight concern; motor weakness concern; respiratory / cardiopulmonary concern
D0512,RAB27A,"Griscelli syndrome, type 2",OMIM:607624,AR,gastrointestinal concern; language / cognitive concern; recurrent / unusual infection concern; seizure-like event concern; skin concern; systemic red flag concern
D0282,GH1,"Growth hormone deficiency, isolated, type II",OMIM:173100,AD,growth / weight concern
D0285,GHR,Growth hormone receptor deficiency,OMIM:262500,AR,growth / weight concern; language / cognitive concern; musculoskeletal concern
D0297,GPR101,Growth hormone-secreting pituitary adenoma-2,OMIM:300943,XLR,fatigability / low stamina concern; gastrointestinal concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; skin concern; vision / ocular tracking concern
D0442,OAT,Gyrate atrophy of choroid and retina with or without ornithinemia,OMIM:258870,AR,motor weakness concern; vision / ocular tracking concern
D0241,F8,Haemophilia A,OMIM:306700,XLR,gastrointestinal concern; hematologic / bleeding concern; skin concern
D0242,F9,Haemophilia B,OMIM:306900,XLR,gastrointestinal concern; hematologic / bleeding concern; renal / urinary concern; skin concern
D0320,HPD,Hawkinsinuria,OMIM:140350,AD,developmental delay concern; growth / weight concern; language / cognitive concern; renal / urinary concern; skin concern
D0481,PEX6,Heimler syndrome 2,OMIM:616617,AR,developmental delay concern; hearing concern; skin concern
D0022,ADNP,Helsmoortel-van der Aa syndrome,OMIM:615873,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0262,G6PD,"Hemolytic anemia, G6PD deficient (favism)",OMIM:300908,XLD,gastrointestinal concern; hematologic / bleeding concern; musculoskeletal concern; renal / urinary concern; skin concern; systemic red flag concern
D0119,CFB,"Hemolytic uremic syndrome, atypical, susceptibility to, 4",OMIM:612924,AD,hematologic / bleeding concern; renal / urinary concern
D0504,PRF1,"Hemophagocytic lymphohistiocytosis, familial, 2",OMIM:603553,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; seizure-like event concern; skin concern; systemic red flag concern
D0652,UNC13D,"Hemophagocytic lymphohistiocytosis, familial, 3",OMIM:608898,AR,gastrointestinal concern; hematologic / bleeding concern; recurrent / unusual infection concern; systemic red flag concern
D0614,STX11,"Hemophagocytic lymphohistiocytosis, familial, 4",OMIM:603552,AR,developmental delay concern; gastrointestinal concern; hematologic / bleeding concern; recurrent / unusual infection concern; seizure-like event concern; skin concern; systemic red flag concern
D0604,SP110,Hepatic venoocclusive disease with immunodeficiency,OMIM:235550,AR,gastrointestinal concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern
D0559,SERPING1,"Hereditary angioedema, 1 and 2",OMIM:106100,AR,gastrointestinal concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0589,SLC46A1,Hereditary folate malabsorption,OMIM:229050,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; recurrent / unusual infection concern; seizure-like event concern
