disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0666,ZBTB24,Immunodeficiency-centromeric instability-facial anomalies syndrome 2,OMIM:614069,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; respiratory concern
D0113,CDCA7,Immunodeficiency-centromeric instability-facial anomalies syndrome 3,OMIM:616910,AR,developmental delay concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; vision / ocular tracking concern
D0309,HELLS,Immunodeficiency-centromeric instability-facial anomalies syndrome 4,OMIM:616911,AR,developmental delay concern; language / cognitive concern; recurrent / unusual infection concern
D0398,MED13L,Impaired intellectual development and distinctive facial features with or without cardiac defects,OMIM:616789,AD,developmental delay concern; gait / coordination concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; social interaction / behavioral concern; vision / ocular tracking concern
D0340,IL10RB,Inflammatory bowel disease 25,OMIM:612567,AR,gastrointestinal concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0339,IL10RA,Inflammatory bowel disease 28,OMIM:613148,AR,gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; skin concern
D0333,IGF1,Insulin-like growth factor I deficiency,OMIM:608747,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern
D0091,CASK,Intellectual developmental disorder and microcephaly with pontine and cerebellar hypoplasia,OMIM:300749,XLD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; motor weakness concern; respiratory concern; seizure-like event concern; skin concern; vision / ocular tracking concern
D0131,CHD8,Intellectual developmental disorder with autism and macrocephaly,OMIM:615032,AD,developmental delay concern; developmental regression concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0259,FOXP1,Intellectual developmental disorder with language impairment with or without autistic features,OMIM:613670,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; renal / urinary concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0017,ACTL6B,Intellectual developmental disorder with severe speech and ambulation defects,OMIM:618468,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern
D0147,CNOT3,"Intellectual developmental disorder with speech delay, autism, and dysmorphic facies",OMIM:618672,AD,developmental delay concern; fatigability / low stamina concern; feeding / swallowing concern; gastrointestinal concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern
D0389,MBD5,"Intellectual developmental disorder, autosomal dominant 1",OMIM:156200,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0162,CTCF,"Intellectual developmental disorder, autosomal dominant 21",OMIM:615502,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0068,AUTS2,"Intellectual developmental disorder, autosomal dominant 26",OMIM:615834,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0560,SETBP1,"Intellectual developmental disorder, autosomal dominant 29",OMIM:616078,AD,developmental delay concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0312,HIVEP2,"Intellectual developmental disorder, autosomal dominant 43",OMIM:616977,AD,developmental delay concern; fatigability / low stamina concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0643,TRIO,"Intellectual developmental disorder, autosomal dominant 44, with microcephaly",OMIM:617061,AD,developmental delay concern; fatigability / low stamina concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0619,SYNGAP1,"Intellectual developmental disorder, autosomal dominant 5",OMIM:612621,AD,developmental delay concern; developmental regression concern; language / cognitive concern; seizure-like event concern; social interaction / behavioral concern; vision / ocular tracking concern
D0367,KMT5B,"Intellectual developmental disorder, autosomal dominant 51",OMIM:617788,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0059,ASH1L,"Intellectual developmental disorder, autosomal dominant 52",OMIM:617796,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0299,GRIN2B,"Intellectual developmental disorder, autosomal dominant 6, with or without seizures",OMIM:613970,AD,developmental delay concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern; social interaction / behavioral concern
D0397,MED13,"Intellectual developmental disorder, autosomal dominant 61",OMIM:618009,AD,developmental delay concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0644,TRIO,"Intellectual developmental disorder, autosomal dominant 63, with macrocephaly",OMIM:618825,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0213,DYRK1A,"Intellectual developmental disorder, autosomal dominant 7",OMIM:614104,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0655,USP9X,"Intellectual developmental disorder, X-linked 99",OMIM:300919,XLR,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; respiratory concern; social interaction / behavioral concern
D0317,HNRNPH2,"Intellectual developmental disorder, X-linked syndromic, Bain type",OMIM:300986,XLD,developmental delay concern; developmental regression concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; respiratory / cardiopulmonary concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0601,SLC9A6,"Intellectual developmental disorder, X-linked syndromic, Christianson type",OMIM:300243,XLR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0179,DDX3X,"Intellectual developmental disorder, X-linked syndromic, Snijders Blok type",OMIM:300958,XLR,developmental delay concern; gait / coordination concern; growth / weight concern; hearing concern; language / cognitive concern; respiratory / cardiopulmonary concern; seizure-like event concern; social interaction / behavioral concern; vision / ocular tracking concern
D0097,CBLIF,Intrinsic factor deficiency,OMIM:261000,AR,gastrointestinal concern; hematologic / bleeding concern
D0346,IRAK4,IRAK4 deficiency,OMIM:607676,AR,gastrointestinal concern; recurrent / unusual infection concern
D0005,ACAD8,Isobutyryl-CoA dehydrogenase deficiency,OMIM:611283,AR,hematologic / bleeding concern; respiratory / cardiopulmonary concern
D0283,GH1,Isolated growth hormone deficiency type 1A,OMIM:262400,AR,gastrointestinal concern; growth / weight concern; skin concern
D0284,GH1,Isolated growth hormone deficiency type 1B,OMIM:612781,AR,growth / weight concern; musculoskeletal concern
D0286,GHRHR,Isolated growth hormone deficiency type 4,OMIM:618157,AR,growth / weight concern; musculoskeletal concern
D0353,IVD,Isovaleric acidemia,OMIM:243500,AR,developmental delay concern; gastrointestinal concern; hematologic / bleeding concern; renal / urinary concern; seizure-like event concern
D0355,JAK3,"JAK3 associated T cell-negative, B cell-positive, natural killer cell-negative severe combined immunodeficiency",OMIM:600802,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern
D0362,KCNQ1,Jervell and Lange-Nielsen syndrome,OMIM:220400,AR,hearing concern; respiratory / cardiopulmonary concern
D0045,ANKRD11,KBG syndrome,OMIM:148050,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0244,FAM111A,"Kenny-Caffey syndrome, type 2",OMIM:127000,AD,developmental delay concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern
D0222,EHMT1,Kleefstra syndrome 1,OMIM:610253,AD,developmental delay concern; developmental regression concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0264,GALC,Krabbe disease,OMIM:245200,AR,developmental regression concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; recurrent / unusual infection concern; seizure-like event concern; systemic red flag concern; vision / ocular tracking concern
D0303,HADHA,LCHAD deficiency,OMIM:609016,AR,gastrointestinal concern; respiratory / cardiopulmonary concern
D0371,LEP,Leptin deficiency,OMIM:614962,AR,growth / weight concern; recurrent / unusual infection concern; respiratory concern; social interaction / behavioral concern
D0372,LEPR,Leptin receptor deficiency,OMIM:614963,AR,developmental delay concern; growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; respiratory concern; social interaction / behavioral concern
D0350,ITGB2,"Leukocyte adhesion deficiency, type I",OMIM:116920,AR,gastrointestinal concern; musculoskeletal concern; recurrent / unusual infection concern; skin concern
D0248,FERMT3,"Leukocyte adhesion deficiency, type III",OMIM:612840,AR,gastrointestinal concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; skin concern
D0554,SCNN1B,Liddle syndrome 1,OMIM:177200,AD,renal / urinary concern
D0556,SCNN1G,Liddle syndrome 2,OMIM:618114,AD,fatigability / low stamina concern; gastrointestinal concern; motor weakness concern; renal / urinary concern
D0375,LIG1,LIG1 associated immunodeficiency,OMIM:619774,AR,developmental delay concern; growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; skin concern
D0376,LIG4,LIG4 Syndrome,OMIM:606593,AR,developmental delay concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0380,LMF1,"Lipase deficiency, combined",OMIM:246650,AR,gastrointestinal concern; recurrent / unusual infection concern; skin concern
D0077,BSCL2,"Lipodystrophy, congenital generalized, type 2",OMIM:269700,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; skin concern; social interaction / behavioral concern
D0095,CAV1,"Lipodystrophy, congenital generalized, type 3",OMIM:612526,AR,gastrointestinal concern; growth / weight concern; skin concern
D0096,CAVIN1,"Lipodystrophy, congenital generalized, type 4",OMIM:613327,AR,fatigability / low stamina concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; skin concern
D0094,CAV1,"Lipodystrophy, familial partial, type 7",OMIM:606721,AD,feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hearing concern; motor weakness concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; skin concern; vision / ocular tracking concern
D0609,STAR,Lipoid adrenal hyperplasia,OMIM:201710,AR,renal / urinary concern
D0381,LPL,Lipoprotein lipase deficiency,OMIM:238600,AR,gastrointestinal concern; musculoskeletal concern; recurrent / unusual infection concern; skin concern
D0361,KCNQ1,Long QT Syndrome 1,OMIM:192500,AD,hearing concern; respiratory / cardiopulmonary concern
D0357,KCNH2,Long QT Syndrome 2,OMIM:613688,AD,respiratory / cardiopulmonary concern
D0550,SCN5A,Long QT Syndrome 3,OMIM:603830,AD,respiratory / cardiopulmonary concern
D0352,ITK,Lymphoproliferative syndrome 2,OMIM:613011,AR,gastrointestinal concern; hematologic / bleeding concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; respiratory concern; systemic red flag concern
D0110,CD70,Lymphoproliferative syndrome 3,OMIM:618261,AR,gastrointestinal concern; recurrent / unusual infection concern; systemic red flag concern
D0599,SLC7A7,Lysinuric protein intolerance,OMIM:222700,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; skin concern
D0402,MLYCD,Malonyl-CoA decarboxylase deficiency,OMIM:248360,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern
D0072,BCKDHA,"Maple syrup urine disease, type Ia",OMIM:248600,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern; recurrent / unusual infection concern; renal / urinary concern; seizure-like event concern
D0073,BCKDHB,"Maple syrup urine disease, type Ib",OMIM:620698,AR,feeding / swallowing concern; gastrointestinal concern; seizure-like event concern
D0176,DBT,"Maple syrup urine disease, type II",OMIM:620699,AR,fatigability / low stamina concern; gastrointestinal concern; musculoskeletal concern
D0006,ACADM,Medium-chain acyl-CoA dehydrogenase deficiency,OMIM:201450,AR,developmental delay concern; gastrointestinal concern; renal / urinary concern; seizure-like event concern
D0184,DHFR,Megaloblastic anemia due to dihydrofolate reductase deficiency,OMIM:613839,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; hematologic / bleeding concern; motor weakness concern; seizure-like event concern; skin concern
D0570,SLC19A1,"Megaloblastic anemia, folate-responsive",OMIM:601775,AR,hematologic / bleeding concern
D0065,ATP7A,Menkes disease,OMIM:309400,XLR,developmental delay concern; developmental regression concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; seizure-like event concern; skin concern
D0057,ARSA,Metachromatic leukodystrophy,OMIM:250100,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern; motor weakness concern; renal / urinary concern; seizure-like event concern; social interaction / behavioral concern
D0387,MAT1A,"Methionine adenosyltransferase deficiency, autosomal recessive",OMIM:250850,AR,developmental delay concern; language / cognitive concern
D0407,MMUT,"Methylmalonic acidemia, mut(0) type",OMIM:251000,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; motor weakness concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern
D0307,HCFC1,"Methylmalonic aciduria and homocysteinemia, cblX type",OMIM:309541,XLR,developmental delay concern; growth / weight concern; language / cognitive concern; renal / urinary concern; seizure-like event concern
D0405,MMACHC,"Methylmalonic aciduria and homocystinuria, cblC type",OMIM:277400,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern; vision / ocular tracking concern
D0502,PRDX1,"Methylmalonic aciduria and homocystinuria, cblC type, digenic",OMIM:277400,AR,renal / urinary concern; seizure-like event concern; vision / ocular tracking concern; hematologic / bleeding concern; developmental delay concern; language / cognitive concern; skin concern; gastrointestinal concern; growth / weight concern; feeding / swallowing concern; respiratory concern
D0406,MMADHC,"Methylmalonic aciduria and homocystinuria, cblD type",OMIM:277410,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; hematologic / bleeding concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; vision / ocular tracking concern
D0379,LMBRD1,"Methylmalonic aciduria and homocystinuria, cblF type",OMIM:277380,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern
D0004,ABCD4,"Methylmalonic aciduria and homocystinuria, cblJ type",OMIM:614857,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern
D0403,MMAA,"Methylmalonic aciduria, vitamin B12-responsive, cblA type",OMIM:251100,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; renal / urinary concern; respiratory concern; seizure-like event concern
D0404,MMAB,"Methylmalonic aciduria, vitamin B12-responsive, cblB type",OMIM:251110,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern
D0393,MCEE,Methylmalonyl-CoA epimerase deficiency,OMIM:251120,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; renal / urinary concern
D0543,SAMD9,MIRAGE syndrome,OMIM:617053,AD,developmental delay concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern
D0012,ACOX1,Mitchell syndrome,OMIM:618960,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern; motor weakness concern; respiratory concern; seizure-like event concern
D0617,SUCLA2,Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria),OMIM:612073,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hearing concern; hematologic / bleeding concern; language / cognitive concern; motor weakness concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern; vision / ocular tracking concern
D0618,SUCLG1,Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria),OMIM:245400,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; motor weakness concern; renal / urinary concern; respiratory concern; skin concern
D0408,MOCS1,Molybdenum cofactor deficiency A,OMIM:252150,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; vision / ocular tracking concern
D0563,SGSH,Mucopolysaccharidosis IIIA,OMIM:252900,AR,developmental delay concern; gastrointestinal concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0420,NAGLU,Mucopolysaccharidosis IIIB,OMIM:252920,AR,developmental delay concern; gastrointestinal concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0289,GLB1,Mucopolysaccharidosis IVB,OMIM:253010,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern
D0268,GALNS,Mucopolysaccharidosis IVA,OMIM:253000,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern
D0058,ARSB,Mucopolysaccharidosis VI,OMIM:253200,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern
D0301,GUSB,Mucopolysaccharidosis VII,OMIM:253220,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0223,EIF2AK3,"Multiple epiphyseal dysplasia with early onset diabetes mellitus, Wolcott-Rallison syndrome",OMIM:226980,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; musculoskeletal concern; renal / urinary concern; skin concern
D0428,NFU1,Multiple mitochondrial dysfunctions syndrome 1,OMIM:605711,AR,developmental delay concern; developmental regression concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; motor weakness concern; renal / urinary concern; respiratory concern; seizure-like event concern
D0038,ALG14,"Myasthenic syndrome, congenital, 15, without tubular aggregates",OMIM:616227,AR,gait / coordination concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern
D0139,CHRNE,"Myasthenic syndrome, congenital, 4 (4A)",OMIM:605809,AR,feeding / swallowing concern; gastrointestinal concern; motor weakness concern; respiratory concern; vision / ocular tracking concern
D0140,CHRNE,"Myasthenic syndrome, congenital, 4 (4B)",OMIM:616324,AR,feeding / swallowing concern; gastrointestinal concern; motor weakness concern; recurrent / unusual infection concern; respiratory concern; vision / ocular tracking concern
D0141,CHRNE,"Myasthenic syndrome, congenital, 4 (4C)",OMIM:608931,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; motor weakness concern; musculoskeletal concern; respiratory concern; vision / ocular tracking concern
D0026,AGRN,"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects",OMIM:615120,AR,motor weakness concern; respiratory concern
D0597,SLC6A1,Myoclonic-atonic epilepsy,OMIM:616421,AD,developmental delay concern; gait / coordination concern; language / cognitive concern; seizure-like event concern; social interaction / behavioral concern
D0421,NAGS,N-acetylglutamate synthase deficiency,OMIM:237310,AR,gastrointestinal concern; growth / weight concern; language / cognitive concern; respiratory concern; seizure-like event concern; social interaction / behavioral concern
D0093,CASR,Neonatal hyperparathyroidism,OMIM:239200,AR,feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; renal / urinary concern; respiratory concern; social interaction / behavioral concern
D0562,SGPL1,"Nephrotic syndrome, type 14",OMIM:617575,AR,developmental delay concern; developmental regression concern; gait / coordination concern; hearing concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; skin concern; vision / ocular tracking concern
D0155,COQ8B,"Nephrotic syndrome, type 9",OMIM:615573,AR,renal / urinary concern
D0365,KIF1A,NESCAV syndrome,OMIM:614255,AD,developmental delay concern; gait / coordination concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern; vision / ocular tracking concern
D0254,FOLR1,Neurodegeneration due to cerebral folate transport deficiency,OMIM:613068,AR,developmental delay concern; developmental regression concern; language / cognitive concern; seizure-like event concern
D0181,DEAF1,"Neurodevelopmental disorder with hypotonia, impaired expressive language, and with or without seizures",OMIM:617171,AR,developmental delay concern; language / cognitive concern; seizure-like event concern; social interaction / behavioral concern
D0126,CHAMP1,"Neurodevelopmental disorder with hypotonia, impaired language, and dysmorphic features",OMIM:616579,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; social interaction / behavioral concern; vision / ocular tracking concern
D0308,HECW2,"Neurodevelopmental disorder with hypotonia, seizures, and absent language",OMIM:617268,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; language / cognitive concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0185,DHPS,Neurodevelopmental disorder with seizures and speech and walking impairment,OMIM:618480,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0659,WNK1,"Neuropathy, hereditary sensory and autonomic, type II",OMIM:201300,AR,feeding / swallowing concern; gastrointestinal concern; musculoskeletal concern; skin concern
D0146,CLPB,"Neutropenia, severe congenital, 9, autosomal dominant",OMIM:619813,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; hearing concern; language / cognitive concern; musculoskeletal concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0422,NBN,Nijmegen breakage syndrome,OMIM:251260,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; skin concern; social interaction / behavioral concern
D0441,OAS1,OAS1 associated polymorphic autoinflammatory immunodeficiency,OMIM:618042,AD,gastrointestinal concern; recurrent / unusual infection concern; respiratory concern
D0160,CSNK2A1,Okur-Chung neurodevelopmental syndrome,OMIM:617062,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory / cardiopulmonary concern; seizure-like event concern; skin concern; social interaction / behavioral concern
D0447,OTC,Ornithine transcarbamylase deficiency,OMIM:311250,XLR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; seizure-like event concern
D0329,IFITM5,Osteogenesis Imperfecta type V,OMIM:610967,AD,growth / weight concern; musculoskeletal concern
D0143.1,CLCN7,"Osteopetrosis, autosomal recessive 4",OMIM:611490,AR,developmental delay concern; hematologic / bleeding concern; language / cognitive concern; renal / urinary concern; seizure-like event concern
D0143.2,CLCN7,"Osteopetrosis, autosomal dominant 2",OMIM:166600,AD,developmental delay concern; hematologic / bleeding concern; language / cognitive concern; renal / urinary concern; seizure-like event concern
D0627,TCIRG1,Osteopetrosis type 1,OMIM:259700,AR,gastrointestinal concern; growth / weight concern; hearing concern; hematologic / bleeding concern; motor weakness concern; musculoskeletal concern; recurrent / unusual infection concern; seizure-like event concern; vision / ocular tracking concern
D0635,TNFRSF11A,Osteopetrosis type 7,OMIM:612301,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; seizure-like event concern; vision / ocular tracking concern
D0603,SNX10,Osteopetrosis type 8,OMIM:615085,AR,feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; motor weakness concern; vision / ocular tracking concern
D0088,CA2,Osteopetrosis with renal tubular acidosis,OMIM:259730,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; vision / ocular tracking concern
D0382,LRP5,Osteoporosis-pseudoglioma syndrome,OMIM:259770,AR,developmental delay concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; respiratory / cardiopulmonary concern; seizure-like event concern; vision / ocular tracking concern
D0454,PAX1,Otofaciocervical syndrome 2,OMIM:615560,AR,developmental delay concern; hearing concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; skin concern
D0508,PTF1A,Pancreatic agenesis 2,OMIM:615935,AR,developmental delay concern; gastrointestinal concern; growth / weight concern
